date,customerID,total_calls,dropped_calls,data_volume_MB,throughput_Mbps
2024-05-01,7590-VHVEG,18.0,1.0,188.15,27.8
2024-05-01,5575-GNVDE,15.0,0.0,724.57,20.12
2024-05-01,3668-QPYBK,18.0,0.0,652.58,16.53
2024-05-01,7795-CFOCW,12.0,0.0,1310.07,25.1
2024-05-01,9237-HQITU,19.0,0.0,728.64,33.91
2024-05-01,9305-CDSKC,13.0,0.0,268.06,6.16
2024-05-01,1452-KIOVK,9.0,0.0,697.19,5.05
2024-05-01,6713-OKOMC,14.0,0.0,1171.75,48.39
2024-05-01,7892-POOKP,8.0,1.0,887.06,13.04
2024-05-01,6388-TABGU,11.0,0.0,971.91,22.45
2024-05-01,9763-GRSKD,5.0,0.0,476.99,12.47
2024-05-01,7469-LKBCI,19.0,0.0,1184.25,16.16
2024-05-01,8091-TTVAX,7.0,1.0,556.95,41.95
2024-05-01,0280-XJGEX,12.0,0.0,759.07,6.71
2024-05-01,5129-JLPIS,9.0,0.0,156.24,43.87
2024-05-01,3655-SNQYZ,15.0,0.0,1238.34,10.04
2024-05-01,8191-XWSZG,13.0,0.0,1337.45,44.19
2024-05-01,9959-WOFKT,17.0,0.0,620.03,38.72
2024-05-01,4190-MFLUW,8.0,0.0,1273.44,8.62
2024-05-01,4183-MYFRB,5.0,1.0,108.94,16.55
2024-05-01,8779-QRDMV,20.0,0.0,1477.26,38.59
2024-05-01,1680-VDCWW,20.0,0.0,893.79,12.95
2024-05-01,1066-JKSGK,11.0,0.0,631.31,30.93
2024-05-01,3638-WEABW,5.0,0.0,414.46,21.5
2024-05-01,6322-HRPFA,16.0,0.0,1425.99,27.46
2024-05-01,6865-JZNKO,17.0,0.0,1004.7,42.81
2024-05-01,6467-CHFZW,6.0,0.0,134.71,12.68
2024-05-01,8665-UTDHZ,14.0,0.0,172.24,15.15
2024-05-01,5248-YGIJN,7.0,0.0,333.1,11.76
2024-05-01,8773-HHUOZ,19.0,0.0,361.41,15.98
2024-05-01,3841-NFECX,5.0,0.0,758.4,36.13
2024-05-01,4929-XIHVW,19.0,0.0,425.9,17.73
2024-05-01,6827-IEAUQ,15.0,1.0,520.3,38.26
2024-05-01,7310-EGVHZ,16.0,1.0,480.8,12.81
2024-05-01,3413-BMNZE,17.0,0.0,718.76,10.26
2024-05-01,6234-RAAPL,14.0,1.0,649.02,26.24
2024-05-01,6047-YHPVI,10.0,0.0,470.37,8.17
2024-05-01,6572-ADKRS,12.0,1.0,1337.46,42.75
2024-05-01,5380-WJKOV,8.0,1.0,1498.32,46.61
2024-05-01,8168-UQWWF,8.0,0.0,975.14,9.29
2024-05-01,8865-TNMNX,18.0,0.0,483.61,41.76
2024-05-01,9489-DEDVP,20.0,1.0,964.17,30.39
2024-05-01,9867-JCZSP,16.0,0.0,1286.27,48.43
2024-05-01,4671-VJLCL,7.0,0.0,107.54,9.6
2024-05-01,4080-IIARD,5.0,0.0,1015.64,43.99
2024-05-01,3714-NTNFO,16.0,0.0,476.01,24.97
2024-05-01,5948-UJZLF,15.0,0.0,1273.77,34.92
2024-05-01,7760-OYPDY,13.0,0.0,443.73,12.21
2024-05-01,7639-LIAYI,19.0,0.0,903.01,34.41
2024-05-01,2954-PIBKO,9.0,0.0,736.94,21.94
2024-05-01,8012-SOUDQ,7.0,0.0,1097.97,32.24
2024-05-01,9420-LOJKX,5.0,0.0,463.71,17.0
2024-05-01,6575-SUVOI,8.0,0.0,686.39,11.83
2024-05-01,7495-OOKFY,16.0,1.0,1068.81,19.29
2024-05-01,4667-QONEA,16.0,0.0,479.92,42.33
2024-05-01,1658-BYGOY,19.0,0.0,640.18,20.0
2024-05-01,8769-KKTPH,18.0,0.0,835.3,5.22
2024-05-01,5067-XJQFU,17.0,0.0,1029.78,7.82
2024-05-01,3957-SQXML,19.0,1.0,1043.79,36.31
2024-05-01,5954-BDFSG,9.0,1.0,495.22,9.18
2024-05-01,0434-CSFON,14.0,0.0,591.49,8.07
2024-05-01,1215-FIGMP,5.0,0.0,853.22,12.41
2024-05-01,0526-SXDJP,14.0,1.0,622.64,23.54
2024-05-01,0557-ASKVU,16.0,1.0,419.94,18.19
2024-05-01,5698-BQJOH,18.0,0.0,859.75,33.01
2024-05-01,5122-CYFXA,15.0,0.0,233.43,37.38
2024-05-01,8627-ZYGSZ,5.0,0.0,1164.01,38.59
2024-05-01,3410-YOQBQ,6.0,0.0,1433.81,23.12
2024-05-01,3170-NMYVV,15.0,0.0,134.68,34.68
2024-05-01,7410-OIEDU,19.0,0.0,736.73,34.65
2024-05-01,2273-QCKXA,10.0,1.0,339.74,47.69
2024-05-01,0731-EBJQB,6.0,1.0,564.33,27.74
2024-05-01,1891-QRQSA,13.0,1.0,1267.31,43.98
2024-05-01,8028-PNXHQ,12.0,1.0,107.86,35.07
2024-05-01,5630-AHZIL,15.0,0.0,1471.12,30.34
2024-05-01,2673-CXQEU,16.0,0.0,1240.75,45.37
2024-05-01,6416-JNVRK,18.0,0.0,467.57,45.23
2024-05-01,5590-ZSKRV,14.0,0.0,1349.08,32.01
2024-05-01,0191-ZHSKZ,6.0,1.0,476.59,12.77
2024-05-01,3887-PBQAO,11.0,0.0,942.47,43.56
2024-05-01,5919-TMRGD,18.0,0.0,1326.06,40.34
2024-05-01,8108-UXRQN,5.0,1.0,1251.31,35.06
2024-05-01,9191-MYQKX,16.0,0.0,274.35,18.36
2024-05-01,9919-YLNNG,9.0,0.0,1294.81,36.56
2024-05-01,0318-ZOPWS,13.0,0.0,1354.76,40.79
2024-05-01,4445-ZJNMU,7.0,0.0,1063.64,31.14
2024-05-01,4808-YNLEU,7.0,0.0,266.68,7.58
2024-05-01,1862-QRWPE,12.0,1.0,1118.47,24.2
2024-05-01,2796-NNUFI,12.0,0.0,669.44,11.25
2024-05-01,3016-KSVCP,17.0,1.0,729.0,19.13
2024-05-01,4767-HZZHQ,7.0,0.0,103.92,48.39
2024-05-01,2424-WVHPL,14.0,0.0,1304.69,25.24
2024-05-01,7233-PAHHL,10.0,0.0,1008.06,12.27
2024-05-01,6067-NGCEU,12.0,0.0,484.72,19.83
2024-05-01,9848-JQJTX,10.0,0.0,774.22,31.85
2024-05-01,8637-XJIVR,15.0,0.0,651.82,25.08
2024-05-01,9803-FTJCG,16.0,1.0,1243.2,34.76
2024-05-01,0278-YXOOG,14.0,1.0,926.14,20.11
2024-05-01,3212-KXOCR,7.0,0.0,781.99,11.08
2024-05-01,4598-XLKNJ,6.0,0.0,535.98,38.87
2024-05-01,6380-ARCEH,11.0,0.0,690.71,10.19
2024-05-01,3679-XASPY,10.0,0.0,1123.01,15.05
2024-05-01,7123-WQUHX,16.0,1.0,854.64,40.03
2024-05-01,5386-THSLQ,18.0,0.0,521.73,7.86
2024-05-01,3192-NQECA,19.0,0.0,447.26,28.79
2024-05-01,6180-YBIQI,17.0,0.0,332.64,33.67
2024-05-01,6728-DKUCO,14.0,0.0,632.24,12.04
2024-05-01,9750-BOOHV,18.0,1.0,1431.49,21.95
2024-05-01,8597-CWYHH,16.0,0.0,1062.64,40.41
2024-05-01,2848-YXSMW,20.0,1.0,1204.01,27.83
2024-05-01,0486-HECZI,13.0,0.0,981.5,10.8
2024-05-01,4549-ZDQYY,13.0,1.0,1459.39,8.04
2024-05-01,5712-AHQNN,15.0,0.0,879.35,14.03
2024-05-01,4846-WHAFZ,16.0,0.0,1175.66,9.7
2024-05-01,5256-SKJGO,5.0,0.0,408.66,15.54
2024-05-01,3071-VBYPO,11.0,0.0,663.82,32.11
2024-05-01,9560-BBZXK,20.0,0.0,369.82,39.1
2024-05-01,5299-RULOA,11.0,1.0,919.72,40.2
2024-05-01,8402-OOOHJ,14.0,1.0,458.07,7.32
2024-05-01,9445-ZUEQE,8.0,0.0,667.75,41.31
2024-05-01,1091-SOZGA,9.0,0.0,1444.51,45.43
2024-05-01,2928-HLDBA,15.0,0.0,805.31,21.78
2024-05-01,0404-SWRVG,11.0,0.0,661.17,9.52
2024-05-01,6497-TILVL,20.0,0.0,120.22,25.37
2024-05-01,7219-TLZHO,11.0,0.0,219.27,22.27
2024-05-01,4622-YNKIJ,16.0,0.0,1240.83,32.23
2024-05-01,4412-YLTKF,8.0,1.0,433.7,12.67
2024-05-01,6734-PSBAW,15.0,1.0,637.57,40.52
2024-05-01,3930-ZGWVE,11.0,0.0,835.84,15.73
2024-05-01,2639-UGMAZ,8.0,1.0,1042.34,41.64
2024-05-01,2876-GZYZC,7.0,0.0,1054.3,30.55
2024-05-01,6207-WIOLX,13.0,1.0,1483.3,17.81
2024-05-01,8587-XYZSF,5.0,0.0,1181.39,38.57
2024-05-01,3091-FYHKI,12.0,1.0,1160.01,20.45
2024-05-01,2372-HWUHI,12.0,0.0,309.62,25.22
2024-05-01,7799-LGRDP,9.0,1.0,1328.67,9.58
2024-05-01,7850-VWJUU,11.0,0.0,1195.08,41.37
2024-05-01,3774-VBNXY,5.0,0.0,931.7,25.44
2024-05-01,6217-KDYWC,7.0,1.0,1422.25,10.09
2024-05-01,0390-DCFDQ,10.0,1.0,669.88,48.18
2024-05-01,3146-MSEGF,9.0,1.0,304.5,10.22
2024-05-01,4080-OGPJL,17.0,0.0,808.86,37.65
2024-05-01,1095-WGNGG,5.0,0.0,1367.86,7.93
2024-05-01,2636-SJDOU,11.0,0.0,1191.45,7.36
2024-05-01,1131-QQZEB,12.0,0.0,1153.69,29.52
2024-05-01,5716-EZXZN,11.0,0.0,157.45,22.14
2024-05-01,6837-BJYDQ,17.0,0.0,1140.18,26.55
2024-05-01,2135-RXIHG,7.0,0.0,1290.09,46.5
2024-05-01,6440-DKQGE,7.0,0.0,859.96,13.28
2024-05-01,3466-BYAVD,16.0,1.0,1213.76,39.46
2024-05-01,3780-YVMFA,19.0,1.0,514.34,40.47
2024-05-01,3874-EQOEP,7.0,0.0,1076.68,18.53
2024-05-01,1679-JRFBR,18.0,0.0,616.73,30.23
2024-05-01,9073-ZZIAY,9.0,0.0,1370.05,47.25
2024-05-01,3077-RSNTJ,20.0,0.0,1282.05,23.18
2024-05-01,6551-GNYDG,5.0,0.0,844.97,42.25
2024-05-01,9167-APMXZ,11.0,0.0,716.82,12.2
2024-05-01,2749-CTKAJ,8.0,1.0,109.35,10.74
2024-05-01,6371-NZYEG,9.0,1.0,367.46,32.0
2024-05-01,7554-NEWDD,15.0,0.0,552.36,30.16
2024-05-01,8992-VONJD,18.0,0.0,671.0,8.17
2024-05-01,0867-MKZVY,13.0,0.0,961.28,28.15
2024-05-01,4482-EWFMI,15.0,0.0,675.95,36.91
2024-05-01,4648-YPBTM,17.0,0.0,1322.63,22.72
2024-05-01,2907-ILJBN,16.0,1.0,470.35,31.92
2024-05-01,6345-FZOQH,8.0,1.0,454.24,29.15
2024-05-01,3376-BMGFE,19.0,0.0,862.85,41.6
2024-05-01,5997-OPVFA,19.0,1.0,559.91,15.2
2024-05-01,3445-HXXGF,7.0,0.0,518.18,5.38
2024-05-01,1159-WFSGR,19.0,0.0,567.83,19.17
2024-05-01,7654-YWJUF,17.0,1.0,1011.22,15.3
2024-05-01,1875-QIVME,18.0,0.0,516.8,22.12
2024-05-01,6727-IOTLZ,16.0,0.0,985.65,25.12
2024-05-01,0691-JVSYA,9.0,0.0,1093.72,37.23
2024-05-01,5918-VUKWP,18.0,0.0,757.98,36.35
2024-05-01,1744-JHKYS,8.0,1.0,1115.75,33.02
2024-05-01,2656-FMOKZ,15.0,0.0,653.85,31.15
2024-05-01,2070-FNEXE,11.0,1.0,1229.49,19.46
2024-05-01,5947-SGKCL,19.0,1.0,1411.0,15.56
2024-05-01,3712-PKXZA,16.0,1.0,833.96,33.27
2024-05-01,6317-YPKDH,18.0,0.0,1208.28,14.65
2024-05-01,6582-OIVSP,17.0,0.0,717.06,8.35
2024-05-01,9367-WXLCH,10.0,0.0,985.27,19.45
2024-05-01,5524-KHNJP,5.0,0.0,1059.82,26.69
2024-05-01,1918-ZBFQJ,17.0,0.0,631.64,6.64
2024-05-01,1024-GUALD,10.0,1.0,693.99,28.68
2024-05-01,4827-USJHP,15.0,0.0,1417.0,28.47
2024-05-01,8167-GJLRN,13.0,1.0,715.79,20.62
2024-05-01,0956-SYCWG,6.0,0.0,1399.16,47.24
2024-05-01,8017-UVSZU,15.0,1.0,1484.77,23.62
2024-05-01,7100-FQPRV,9.0,0.0,626.17,39.89
2024-05-01,2472-OVKUP,20.0,1.0,314.64,21.59
2024-05-01,2984-RGEYA,20.0,0.0,713.8,22.47
2024-05-01,9680-NIAUV,19.0,0.0,1321.9,25.6
2024-05-01,2146-EGVDT,11.0,0.0,903.61,42.84
2024-05-01,2604-IJPDU,7.0,1.0,1380.66,34.0
2024-05-01,9178-JHUVJ,17.0,1.0,926.01,39.73
2024-05-01,6168-YBYNP,9.0,0.0,400.71,14.94
2024-05-01,7255-SSFBC,5.0,0.0,743.22,5.16
2024-05-01,3645-DEYGF,16.0,0.0,932.55,12.2
2024-05-01,9323-HGFWY,16.0,0.0,687.68,33.31
2024-05-01,8544-GOQSH,15.0,1.0,129.84,49.08
2024-05-01,3363-DTIVD,12.0,0.0,1236.55,41.33
2024-05-01,7018-WBJNK,14.0,0.0,1405.21,18.3
2024-05-01,9142-KZXOP,13.0,0.0,153.43,40.41
2024-05-01,7674-YTAFD,7.0,0.0,802.75,46.95
2024-05-01,6348-SNFUS,9.0,0.0,1296.13,36.13
2024-05-01,1285-OKIPP,7.0,0.0,1367.76,35.56
2024-05-01,7825-ECJRF,5.0,1.0,1336.41,7.41
2024-05-01,1347-KTTTA,16.0,0.0,281.92,19.8
2024-05-01,7841-TZDMQ,8.0,0.0,1165.99,17.81
2024-05-01,4195-NZGTA,17.0,0.0,1490.74,33.27
2024-05-01,7157-SMCFK,20.0,0.0,274.74,27.34
2024-05-01,4709-LKHYG,17.0,0.0,148.52,33.77
2024-05-01,2504-DSHIH,14.0,1.0,1114.41,12.13
2024-05-01,0699-NDKJM,15.0,1.0,301.99,44.84
2024-05-01,9286-BHDQG,9.0,0.0,1412.86,36.3
2024-05-01,0230-WEQUW,10.0,1.0,238.83,27.8
2024-05-01,2040-LDIWQ,10.0,0.0,391.37,30.05
2024-05-01,6496-JDSSB,5.0,1.0,878.8,43.53
2024-05-01,9408-SSNVZ,12.0,0.0,989.46,13.37
2024-05-01,4443-EMBNA,14.0,0.0,307.3,36.18
2024-05-01,6469-MRVET,7.0,1.0,635.92,30.63
2024-05-01,0742-MOABM,12.0,0.0,487.79,17.04
2024-05-01,5961-VUSRV,11.0,0.0,1206.17,44.46
2024-05-01,6778-JFCMK,16.0,0.0,226.97,19.16
2024-05-01,6341-JVQGF,17.0,0.0,984.45,45.06
2024-05-01,2232-DMLXU,9.0,0.0,1040.21,41.17
2024-05-01,4811-JBUVU,13.0,1.0,289.17,26.46
2024-05-01,0945-TSONX,13.0,0.0,805.74,25.85
2024-05-01,2651-ZCBXV,12.0,0.0,1278.63,20.01
2024-05-01,3316-UWXUY,5.0,1.0,503.38,32.09
2024-05-01,8937-RDTHP,11.0,0.0,861.48,22.03
2024-05-01,7083-MIOPC,13.0,1.0,636.93,47.77
2024-05-01,1984-GPTEH,16.0,0.0,620.76,12.64
2024-05-01,1251-KRREG,18.0,0.0,682.51,33.32
2024-05-01,0621-JFHOL,9.0,0.0,730.76,7.86
2024-05-01,9903-LYSAB,12.0,1.0,888.99,21.01
2024-05-01,0094-OIFMO,14.0,0.0,1195.79,11.78
2024-05-01,9227-UAQFT,10.0,0.0,687.0,12.18
2024-05-01,7301-ABVAD,15.0,0.0,133.76,11.87
2024-05-01,6614-FHDBO,5.0,0.0,703.66,20.4
2024-05-01,7576-ASEJU,10.0,0.0,575.85,35.67
2024-05-01,9058-HRZSV,7.0,0.0,973.75,49.63
2024-05-01,4522-AKYLR,17.0,0.0,591.39,31.73
2024-05-01,0221-WMXNQ,9.0,0.0,307.41,18.68
2024-05-01,0303-UNCIP,9.0,0.0,166.75,6.59
2024-05-01,9947-OTFQU,8.0,1.0,351.19,19.05
2024-05-01,0322-YINQP,10.0,0.0,1104.29,9.23
2024-05-01,0959-WHOKV,8.0,0.0,941.8,7.79
2024-05-01,4075-JFPGR,11.0,0.0,962.46,41.53
2024-05-01,4629-NRXKX,18.0,0.0,1437.76,18.72
2024-05-01,9514-JDSKI,11.0,0.0,1241.18,7.08
2024-05-01,3282-ZISZV,15.0,0.0,448.36,20.94
2024-05-01,3675-YDUPJ,12.0,1.0,416.55,12.94
2024-05-01,4111-BNXIF,5.0,0.0,333.02,18.34
2024-05-01,7017-VFHAY,14.0,0.0,915.83,19.0
2024-05-01,6655-LHBYW,19.0,0.0,903.8,26.75
2024-05-01,4959-JOSRX,19.0,0.0,1358.22,42.93
2024-05-01,5046-NUHWD,19.0,0.0,457.97,9.4
2024-05-01,7273-TEFQD,10.0,0.0,144.34,13.16
2024-05-01,3606-TWKGI,12.0,1.0,489.67,32.77
